"filename", "language", "C", "Log", "C++", "comment", "blank", "total"
"d:\Borland C++\DISK_C\cks\include\draw.h", "C++", 0, 0, -2, -1, 0, -3
"d:\Borland C++\DISK_C\cks\include\report.h", "C++", 0, 0, 3, 3, 3, 9
"d:\Borland C++\DISK_C\cks\path\PATHIN.LOG", "Log", 0, 101, 0, 0, 1, 102
"d:\Borland C++\DISK_C\cks\path\PATHOUT.LOG", "Log", 0, 0, 0, 0, 1, 1
"d:\Borland C++\DISK_C\cks\path\ROBOT1.LOG", "Log", 0, -997, 0, 0, 0, -997
"d:\Borland C++\DISK_C\cks\path\ROBOT2.LOG", "Log", 0, -2590, 0, 0, -1, -2591
"d:\Borland C++\DISK_C\cks\src\auto_in.c", "C", 8, 0, 0, 0, 2, 10
"d:\Borland C++\DISK_C\cks\src\auto_out.c", "C", 9, 0, 0, 0, 2, 11
"d:\Borland C++\DISK_C\cks\src\draw.c", "C", -63, 0, 0, -10, -11, -84
"d:\Borland C++\DISK_C\cks\src\energy.c", "C", 14, 0, 0, 0, 4, 18
"d:\Borland C++\DISK_C\cks\src\item.c", "C", -1, 0, 0, 0, -1, -2
"d:\Borland C++\DISK_C\cks\src\main_menu.c", "C", 3, 0, 0, 0, 0, 3
"d:\Borland C++\DISK_C\cks\src\mock.c", "C", 6, 0, 0, 0, 0, 6
"d:\Borland C++\DISK_C\cks\src\mock_hand.c", "C", 38, 0, 0, 0, 8, 46
"d:\Borland C++\DISK_C\cks\src\report.c", "C", 281, 0, 0, 5, 46, 332
"d:\Borland C++\DISK_C\cks\src\welcome.c", "C", 3, 0, 0, 0, 0, 3
"Total", "-", 298, -3486, 1, -3, 54, -3136
